Star,Blockchain,ALM,PSM,EOA,Anchorage Escrow
Spark,ethereum,0x1601843c5E9bC251A3272907010AFa41Fa18347E,0x37305B1cD40574E4C5Ce33f8e8306Be057fD7341,,0x49506C3Aa028693458d6eE816b2EC28522946872
,base,0x2917956eFF0B5eaF030abDB4EF4296DF775009cA,0x1601843c5E9bC251A3272907010AFa41Fa18347E,,
,optimism,0x876664f0c9Ff24D1aa355Ce9f1680AE1A5bf36fB,0xe0F9978b907853F354d79188A3dEfbD41978af62,,
,unichain,0x345E368fcCd62266B3f5F37C9a131FD1c39f5869,0x7b42Ed932f26509465F7cE3FAF76FfCe1275312f,,
,arbitrum,0x92afd6F2385a90e44da3a8B60fe36f6cBe1D8709,0x2B05F8e1cACC6974fD79A673a341Fe1f58d27266,,
,avalanche,0xecE6B0E8a54c2f44e066fBb9234e7157B15b7FeC,,,
Grove,ethereum,0x491EDFB0B8b608044e227225C715981a30F3A44E,,0x94B398ACb2fcE988871218221EA6a4a2b26CcCbC,
,avalanche,0x7107DD8F56642327945294a18A4280C78e153644,,,
,base,0x9B746dBC5269e1DF6e4193Bcb441C0FbBF1CeCEe,,,
,plume,0x1DB91ad50446a671e2231f77e00948E68876F812,,,
,monad,,,0x94B398ACb2fcE988871218221EA6a4a2b26CcCbC,
Obex,ethereum,0xb6dD7ae22C9922AFEe0642f9Ac13e58633f715A2,,,